show_number,show_id,show_date,venue_id,tour_id,show_order
1,1605930400,2014-09-27,24,1,1
2,1616038942,2014-10-24,35,1,1
3,1613690100,2014-10-25,26,1,1
4,1613690131,2014-11-21,25,1,1
5,1616038775,2014-11-26,35,1,1
6,1613690543,2014-12-20,36,13,1
7,1616038744,2014-12-23,35,1,1
8,1601959537,2015-01-16,9,1,1
9,1613701736,2015-01-17,25,1,1
10,1616038703,2015-01-20,37,1,1
11,1616038160,2015-02-20,24,1,1
12,1614304412,2015-03-07,25,1,1
13,1684862246,2015-03-11,30,1,1
14,1616037808,2015-03-14,24,1,1
15,1743797147,2015-03-15,542,1,1
16,1616037734,2015-04-16,38,1,1
17,1616037488,2015-04-18,26,1,1
18,1614304463,2015-05-02,25,1,1
19,1683570770,2015-05-07,385,1,1
20,1616037453,2015-05-21,27,1,1
21,1616037430,2015-05-23,30,1,1
22,1616037413,2015-05-28,32,1,1
23,1614304594,2015-06-06,25,1,1
24,1616037386,2015-06-12,29,1,1
25,1616037305,2015-06-17,28,1,1
26,1743793096,2015-06-26,32,1,1
27,1712707675,2015-06-27,471,1,1
28,1724179919,2015-08-09,222,1,1
29,1616037273,2015-08-11,27,1,1
30,1616037254,2015-08-18,27,1,1
31,1616037233,2015-08-25,27,1,1
32,1616037215,2015-09-04,26,1,1
33,1614304613,2015-09-18,25,1,1
34,1743526614,2015-09-19,25,1,1
35,1743792240,2015-09-26,30,1,1
36,1698084503,2015-10-01,28,1,1
37,1616037170,2015-10-09,227,1,1
38,1616037160,2015-10-10,227,1,1
39,1614304635,2015-11-13,25,1,1
40,1614304669,2015-12-04,25,1,1
41,1616036851,2015-12-19,36,12,1
42,1705934210,2016-01-19,28,1,1
43,1616036815,2016-01-28,32,1,1
44,1743796790,2016-02-19,32,1,1
45,1743797293,2016-03-08,42,1,1
46,1743797308,2016-03-15,42,1,1
47,1616036792,2016-03-17,9,1,1
48,1616036774,2016-03-19,28,1,1
49,1743797250,2016-03-22,42,1,1
50,1616036749,2016-03-26,41,1,1
51,1616036730,2016-03-29,42,1,1
52,1743797320,2016-03-29,42,1,1
53,1614304693,2016-04-15,25,1,1
54,1616036658,2016-04-16,30,1,1
55,1616036639,2016-04-20,40,1,1
56,1616036597,2016-04-27,27,1,1
57,1616036563,2016-04-29,148,1,1
58,1616036545,2016-05-01,42,1,1
59,1616036521,2016-05-05,27,1,1
60,1686327822,2016-06-17,32,1,1
61,1616036413,2016-07-09,44,1,1
62,1689369871,2016-07-09,9,1,1
63,1689370609,2016-07-14,30,1,1
64,1616036331,2016-07-19,9,1,1
65,1614304713,2016-07-29,25,1,1
66,1616036210,2016-08-06,226,1,1
67,1616035556,2016-08-12,225,1,1
68,1692375765,2016-08-18,148,1,1
69,1724194043,2016-08-19,499,1,1
70,1614304730,2016-08-20,25,1,1
71,1724194002,2016-08-21,46,1,1
72,1724194134,2016-08-25,38,1,1
73,1614304757,2016-09-16,25,1,1
74,1616034465,2016-10-01,33,1,1
75,1648264582,2016-10-09,334,1,1
76,1614304775,2016-10-22,25,1,1
77,1616034399,2016-10-23,224,1,1
78,1616034271,2016-10-28,148,1,1
79,1616034250,2016-10-29,45,1,1
80,1743794784,2016-10-29,45,1,1
81,1616034229,2016-10-30,46,1,1
82,1616034185,2016-11-19,28,1,1
83,1614304915,2016-11-23,25,1,1
84,1616032614,2016-12-16,32,1,1
85,1616032595,2016-12-21,45,1,1
86,1615962879,2016-12-23,36,11,1
87,1615962804,2016-12-30,48,1,1
88,1615962713,2017-01-13,45,1,1
89,1615962491,2017-01-18,199,1,1
90,1616032462,2017-01-20,223,1,1
91,1615962104,2017-01-28,32,1,1
92,1615961779,2017-02-07,47,1,1
93,1615961762,2017-02-08,58,1,1
94,1615961746,2017-02-10,196,1,1
95,1615961722,2017-02-11,49,1,1
96,1615961700,2017-02-16,45,1,1
97,1615961673,2017-02-23,149,1,1
98,1615961649,2017-02-24,194,1,1
99,1615961628,2017-02-25,48,1,1
100,1615961596,2017-03-10,58,1,1
101,1615961581,2017-03-11,197,1,1
102,1615961556,2017-03-17,49,1,1
103,1615961542,2017-03-18,173,1,1
104,1616030483,2017-03-23,222,24,1
105,1615961468,2017-03-24,28,1,1
106,1743798013,2017-03-25,543,1,1
107,1616030004,2017-03-31,41,24,1
108,1616029967,2017-04-01,221,24,1
109,1615961421,2017-04-07,198,24,1
110,1616029886,2017-04-08,220,24,1
111,1616029821,2017-04-13,219,24,1
112,1615961392,2017-04-14,175,24,1
113,1615961369,2017-04-27,48,24,1
114,1679182964,2017-04-29,173,1,1
115,1615961344,2017-05-05,49,1,1
116,1615961328,2017-05-06,58,24,1
117,1615961143,2017-05-10,50,24,1
118,1615961108,2017-05-17,118,24,1
119,1616029688,2017-05-18,218,24,1
120,1615961069,2017-05-19,179,24,1
121,1669048356,2017-05-20,343,1,1
122,1615961047,2017-05-31,193,24,1
123,1615961017,2017-06-01,155,1,1
124,1615960999,2017-06-02,32,1,1
125,1616029589,2017-06-03,217,24,1
126,1615960973,2017-06-07,51,1,1
127,1615960939,2017-06-10,44,1,1
128,1616028256,2017-06-15,216,21,1
129,1615960852,2017-06-22,105,21,1
130,1616028057,2017-06-23,215,21,1
131,1616027988,2017-06-24,214,21,1
132,1616027894,2017-06-27,213,21,1
133,1616027822,2017-06-28,212,21,1
134,1616027743,2017-06-30,211,21,1
135,1616027620,2017-07-01,210,21,1
136,1616027534,2017-07-03,209,21,1
137,1615960608,2017-07-05,190,21,1
138,1616027453,2017-07-07,208,21,1
139,1615873444,2017-07-08,185,21,1
140,1615960408,2017-07-12,192,21,1
141,1615875210,2017-07-13,187,21,1
142,1615960115,2017-07-14,154,21,1
143,1615959437,2017-07-15,153,21,1
144,1615959401,2017-07-20,58,1,1
145,1615959385,2017-07-21,69,1,1
146,1615959360,2017-07-30,52,1,1
147,1615959323,2017-08-03,53,1,1
148,1616026265,2017-08-04,207,21,1
149,1615959304,2017-08-05,54,1,1
150,1615959282,2017-08-10,53,1,1
151,1616025999,2017-08-11,206,21,1
152,1616025916,2017-08-12,205,21,1
153,1615959262,2017-08-17,53,1,1
154,1615875482,2017-08-19,28,1,1
155,1615959210,2017-08-24,53,1,1
156,1616024595,2017-08-25,204,21,1
157,1616024356,2017-08-26,203,21,1
158,1615959161,2017-08-31,53,21,1
159,1615958881,2017-09-01,49,1,1
160,1616024264,2017-09-08,202,1,1
161,1615958718,2017-09-22,155,22,1
162,1615958603,2017-09-23,201,22,1
163,1615958523,2017-09-26,173,1,1
164,1615958438,2017-09-30,200,1,1
165,1615956261,2017-10-02,32,1,1
166,1615956241,2017-10-11,199,1,1
167,1615956098,2017-10-13,53,1,1
168,1615956067,2017-10-21,49,1,1
169,1615954994,2017-10-24,47,1,1
170,1615954913,2017-10-26,198,1,1
171,1615954516,2017-10-27,197,1,1
172,1615954376,2017-10-31,196,1,1
173,1615954304,2017-11-01,195,1,1
174,1615953621,2017-11-02,126,1,1
175,1615874908,2017-11-03,165,1,1
176,1614305805,2017-11-04,48,1,1
177,1615872297,2017-11-09,55,1,1
178,1615872051,2017-11-10,58,1,1
179,1743794986,2017-11-11,194,22,1
180,1615951011,2017-11-15,193,1,1
181,1615874562,2017-11-16,105,1,1
182,1615875859,2017-11-17,154,1,1
183,1743795076,2017-11-18,541,1,1
184,1614304934,2017-11-22,25,1,1
185,1615876087,2017-11-30,188,1,1
186,1615949626,2017-12-01,189,1,1
187,1615949604,2017-12-02,192,1,1
188,1615949521,2017-12-07,191,1,1
189,1615949336,2017-12-08,190,1,1
190,1615874497,2017-12-09,185,1,1
191,1615874177,2017-12-16,186,1,1
192,1615871919,2017-12-23,36,10,1
193,1615871887,2017-12-30,165,1,1
