song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Butter Rum,110,2025-05-10,24,4.150442477876106,5.782515991471216,2.091109399418576,12.091873542053685
White Lights,67,2025-02-13,33,5.847222222222222,5.643705463182898,1.1611427745515097,6.553147820271703
Elizabeth,61,2025-02-10,35,7.573770491803279,4.621212121212121,0.9410432076949726,4.3487602779843435
Wysteria Lane,108,2025-06-04,15,4.824074074074074,3.1094049904030707,0.901953436093725,2.804538515301026
Time to Flee,102,2025-06-04,15,4.5046728971962615,3.3298755186721993,0.8221719415434258,2.737730220284644
Hot Tea,140,2025-06-19,7,3.14,2.229299363057325,1.145773766872768,2.5542727286972537
Arrow,77,2025-06-10,12,4.349397590361446,2.7590027700831024,0.8544952779125095,2.357554838783544
Bob Don,55,2025-06-03,16,6.537037037037037,2.4475920679886687,0.8423962000525254,2.0618422573523567
Turbulence & The Night Rays,41,2025-06-06,14,5.775,2.4242424242424243,0.8081095874247309,1.959053545272075
Escape (The Piña Colada Song),28,2024-06-18,91,16.88888888888889,5.388157894736842,0.351407989266737,1.8934417316411682
"One In, One Out",12,2025-06-10,12,6.181818181818182,1.9411764705882353,0.8085683397763195,1.569573836036385
Indian River,115,2025-06-06,14,4.93859649122807,2.8348134991119007,0.5397905270967258,1.5302054729065266
Magic Carpet Ride,10,2024-06-18,91,20.3,4.482758620689655,0.2950077246558386,1.3224484208710003
Turned Clouds,116,2025-06-12,10,4.947826086956522,2.0210896309314585,0.6466308686931956,1.3068989437560192
726,37,2025-05-10,24,8.805555555555555,2.725552050473186,0.37655775566949123,1.0263277630865628
A Fifth Of Beethoven,13,2024-06-11,96,22.692307692307693,4.230508474576271,0.2267581744362331,0.9593023786319286
Switchin',27,2024-09-03,79,19.03846153846154,4.149494949494949,0.2282429537689611,0.9470929839221132
The Whales,44,2025-06-04,15,7.534883720930233,1.9907407407407407,0.4423354301475992,0.8805751618679057
Can't Get You Out Of My Head,22,2024-10-26,56,18.38095238095238,3.0466321243523318,0.2704006536494918,0.8238113178544102
So Ready,141,2025-06-20,6,4.0212765957446805,1.492063492063492,0.5461430869737596,0.8148801615164032
Pancakes,55,2025-06-20,6,4.387096774193548,1.3676470588235294,0.5195386458489788,0.7105455009405152
Make The Move,18,2024-06-20,90,21.72222222222222,4.143222506393862,0.16609972745068138,0.6881881290795494
I'm Alright,15,2024-06-20,90,24.4375,3.682864450127877,0.13110825364001596,0.48285392644916364
Earthling or Alien?,46,2025-06-12,10,6.891304347826087,1.4511041009463723,0.31607934214074423,0.45866402960486546
I Would Die 4 U,9,2025-05-25,22,13.0,1.6923076923076923,0.26292346649709697,0.444947404841241
Lead the Way,85,2025-06-10,12,6.647058823529412,1.8053097345132743,0.24302290482716749,0.43873161579417846
Drive,104,2025-06-20,6,4.243243243243243,1.4140127388535033,0.3023171804988516,0.42748034439965005
Look Out Cleveland,10,2024-09-22,65,29.555555555555557,2.199248120300752,0.18585195382823255,0.4087345601109626
Moby,20,2025-02-13,33,15.105263157894736,2.1846689895470384,0.1653611014839118,0.3612592704892429
Hot Love & The Lazy Poet,27,2025-06-23,3,4.076923076923077,0.7358490566037736,0.48375057876156424,0.35596740701322654
Liza Jane,19,2024-06-25,86,22.27777777777778,3.8603491271820447,0.08986335589412187,0.3469039274915228
Echo of a Rose,101,2025-06-22,4,4.157894736842105,0.9620253164556962,0.35302371458155096,0.33961775073668193
Seekers on the Ridge pt II,52,2025-06-20,6,6.2745098039215685,0.95625,0.32677964419019573,0.31248303475687467
Seekers on the Ridge pt I,52,2025-06-20,6,6.2745098039215685,0.95625,0.3252638088439802,0.3110335172070561
The Old Man's Boat,28,2025-06-03,16,10.481481481481481,1.5265017667844523,0.19664613588470445,0.30018067385933683
The W.S. Walcott Medicine Show,18,2024-09-24,64,24.055555555555557,2.6605080831408774,0.09999240141422194,0.26603059221520475
Rock The Casbah,12,2024-10-30,54,25.90909090909091,2.0842105263157893,0.1255705940703836,0.2617155539572205
Jive I,129,2025-06-22,4,4.457364341085271,0.8973913043478261,0.2851179500991345,0.2558623691324407
Doc Brown,44,2025-05-31,18,10.659090909090908,1.6886993603411515,0.14139000299311055,0.2387652076130993
Loose Ends,16,2024-11-12,45,23.8,1.8907563025210083,0.12540711923958142,0.2371143010832422
Travelers,28,2025-05-30,19,11.962962962962964,1.588235294117647,0.14340912272458492,0.22776743020963486
Dr. Darkness,42,2025-06-20,6,6.658536585365853,0.9010989010989011,0.23320371335371046,0.21013960983521163
Borne,45,2025-06-21,5,6.044444444444444,0.8272058823529412,0.24995192308750686,0.2067617010834156
Turn On Your Love Light,52,2025-06-03,16,10.647058823529411,1.5027624309392267,0.1336261697443799,0.20080838768216208
Electric Avenue,38,2025-06-01,17,11.81081081081081,1.439359267734554,0.1390457127194413,0.20013673524148418
Inside Out,16,2025-02-13,33,24.066666666666666,1.371191135734072,0.13386312887407342,0.1835519357137572
Interlude II,10,2025-06-10,12,10.666666666666666,1.125,0.13494603237841513,0.151814286425717
The Way It Is,40,2025-06-04,15,12.179487179487179,1.231578947368421,0.10897218017063483,0.13420784294699237
Flodown,155,2025-06-27,2,3.621794871794872,0.552212389380531,0.24057166123317103,0.13284665186681302
Rockdale,68,2025-06-27,2,4.246376811594203,0.4709897610921501,0.2768474851568623,0.13039233089299315
