song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Hot Love & The Lazy Poet,21,2025-06-23,0,4.0,4.0
Atlas Dogs,16,2025-06-23,0,5.267,5.0
Hot Tea,16,2025-06-19,1,5.2,5.0
Echo of a Rose,16,2025-06-22,3,4.8,4.0
Drive,15,2025-06-20,10,5.071,4.5
Arrow,14,2025-06-10,15,5.0,4.0
Pancakes,14,2025-06-20,3,5.923,5.0
Lead Up,13,2025-06-23,0,6.583,5.5
So Ready,13,2025-06-20,5,6.167,5.0
Turned Clouds,13,2025-06-12,2,6.5,6.0
Seekers on the Ridge pt II,12,2025-06-20,10,6.455,4.0
"One In, One Out",12,2025-06-10,6,6.182,5.0
Seekers on the Ridge pt I,12,2025-06-20,10,6.455,4.0
Borne,11,2025-06-21,6,7.4,6.0
Dr. Darkness,11,2025-06-20,5,7.2,5.0
Turbulence & The Night Rays,10,2025-06-06,20,6.444,7.0
Butter Rum,9,2025-05-10,3,9.0,5.5
Interlude II,9,2025-06-10,15,7.875,9.0
Jive I,9,2025-06-22,15,7.375,8.5
Sinnerman,8,2025-06-21,9,10.0,7.0
Bob Don,8,2025-06-03,17,9.0,6.0
This Old Sea,8,2025-06-15,6,10.286,6.0
Wysteria Lane,8,2025-06-04,5,9.857,11.0
The Whales,7,2025-06-04,16,10.167,7.0
Rosewood Heart,7,2025-06-22,14,10.667,7.5
Earthling or Alien?,7,2025-06-12,13,11.0,11.5
Jive Lee,7,2025-06-22,17,9.5,8.5
Jive II,7,2025-06-22,17,9.0,8.5
Green River,6,2025-06-17,5,14.2,17.0
Don't Do It,6,2025-06-22,6,15.0,16.0
How It Ends,6,2025-06-20,3,4.4,4.0
Indian River,6,2025-06-06,25,9.6,10.0
Turn On Your Love Light,6,2025-06-03,17,12.2,13.0
The Way It Is,5,2025-06-04,16,12.25,10.5
Time to Flee,5,2025-06-04,16,14.75,13.0
Mas Que Nada,5,2025-06-19,11,14.5,7.0
Jeff Engborg,5,2025-06-11,14,16.5,14.5
Lead the Way,5,2025-06-10,15,13.75,6.5
Elizabeth,5,2025-02-10,28,13.0,11.5
I Would Die 4 U,5,2025-05-25,26,10.0,8.0
Atlas,5,2025-06-10,15,16.25,18.0
726,5,2025-05-10,3,15.0,16.5
Your Ocean,4,2025-06-03,17,19.333,23.0
Torero,4,2025-06-19,5,12.333,13.0
Travelers,4,2025-05-30,20,15.667,11.0
Spirit Of The Dark Horse,4,2025-06-11,14,20.333,21.0
State Of The Art (A.E.I.O.U.),4,2025-06-06,25,11.667,13.0
White Lights,4,2025-02-13,31,15.0,11.0
I'm Writing A Novel,4,2025-05-28,5,24.333,23.0
Hollywood Nights,4,2025-06-15,19,13.667,9.0
Elmeg The Wise,4,2025-05-30,20,15.667,11.0
Eminence Front,4,2025-06-21,9,19.667,19.0
Butterflies,4,2025-06-10,15,18.333,8.0
Bloodbuzz Ohio,4,2025-06-22,21,19.333,14.0
Doc Brown,4,2025-05-31,19,14.667,11.0
(dawn),4,2025-02-15,29,13.667,14.0
No California,3,2025-05-30,20,24.0,24.0
The Old Man's Boat,3,2025-06-03,17,31.0,31.0
AUATC,3,2025-06-11,14,29.0,29.0
Caution,3,2025-06-11,14,25.5,25.5
Electric Avenue,3,2025-06-01,18,27.0,27.0
Psycho Killer,3,2025-06-06,25,15.5,15.5
True Love Waits,3,2025-06-10,15,29.5,29.5
Honeybee,2,2025-06-19,11,3.0,3.0
The Labyrinth,2,2025-06-19,11,33.0,33.0
