showid,uniqueid,songid,set,position,transition,isreprise,isjam,isjamchart,jamchart_description,tracktime,gap,is_original,soundcheck,footnote,exclude
1251253100,5776,347,1,1,1,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5777,443,1,2,1,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5778,303,1,3,1,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5779,534,1,4,1,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5780,464,1,5,1,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5781,248,1,6,4,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5782,489,2,7,2,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1251253100,5783,200,2,8,6,0,0,0,,,1,0,Jam (with audience present),Phish debut.,0
1250613219,753,359,1,1,6,0,0,1,Debut. Recording does not circulate.,,3,1,,First known performance.,0
1251262142,6104,303,1,1,1,0,0,0,,,3,0,,,0
1251262142,6105,673,1,2,1,0,0,0,,,4,0,,First known Phish performance.,0
1251262142,6106,311,1,3,3,0,0,1,"In the pre-Page days, a rocking, guitar-driven jam with a Grateful Dead-like sound -> into the debut of ""Bertha.""",,4,0,,,0
1251262142,6107,54,1,4,1,0,0,0,,,4,0,,First known Phish performance.,0
1251262142,6108,101,1,5,3,0,0,0,,,4,0,,First known Phish performance.,0
1251262142,6109,535,1,6,3,0,1,0,,,4,0,,,0
1251262142,6110,101,1,7,1,0,0,0,,,0,0,,,0
1251262142,6111,100,1,8,1,0,0,0,,,4,1,,First known performance,0
1251262142,6112,190,1,9,3,0,0,0,,,4,0,,First known Phish performance.,0
1251262142,6113,662,1,10,3,0,0,1,"First known performance with Jeff on vocals and no Page yet. The Phish take on &quot;Whipping Post&quot; follows the Duane-era structure, with a first verse &gt; first jam that is largely intense and straightforward, then a second verse and a second, more open, improv-oriented jam. Lots of Trey shredding here, and some great Mike after 12:00.",,4,0,,First known Phish performance; Jeff on vocals.,0
1251262142,340508,787,1,11,6,0,0,0,,,4,0,,Marc Daubert on percussion.,0
1251262498,27201,311,1,1,1,0,0,0,,,1,0,Fluffhead,,0
1251262498,27202,673,1,2,2,0,0,0,,,1,0,Fluffhead,,0
1251262498,27203,54,1,3,1,0,0,0,,,1,0,Fluffhead,,0
1251262498,27204,101,1,4,1,0,0,0,,,1,0,Fluffhead,,0
1251262498,27205,100,1,5,1,0,0,0,,,1,1,Fluffhead,,0
1251262498,27206,311,1,6,1,0,0,0,,,0,0,Fluffhead,,0
1251262498,27207,303,1,7,1,0,0,0,,,1,0,Fluffhead,,0
1251262498,27208,489,1,8,2,0,0,0,,,4,0,Fluffhead,,0
1251262498,27209,199,1,9,2,0,0,0,,,5,0,Fluffhead,First known Phish performance.,0
1251262498,27210,200,1,10,2,0,0,0,,,4,0,Fluffhead,,0
1251262498,27211,359,1,11,1,0,0,1,"-> in from ""Fire On The Mountain"" (""FOTM""), and some ""FOTM"" jamming continues in the first part, until finally everyone is playing ""Makisupa"". The jam has a nice reggae feel and some fun banter. The playing is very standard, however; this mostly sounds like some very talented college kids goofing off, but the version is worth hearing for precisely that reason.",,2,1,Fluffhead,,0
1251262498,27212,512,1,12,1,0,0,1,"First known performance. It's all guitar in the jam section, as this was the pre-Page era.",,5,1,Fluffhead,First known performance.,0
1251262498,27213,524,1,13,1,0,0,0,,,5,0,Fluffhead,First known Phish performance.,0
