song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Lawn Boy,221,2024-07-31,52,7.904977375565611,6.578133943903834,0.8231147153694253,5.414558848898359
Cavern,479,2025-04-27,15,3.595876288659794,4.17144495412844,1.2779662984451299,5.3309660671951375
Silent in the Morning,187,2024-07-26,56,7.962365591397849,7.033085752869683,0.6712593126312973,4.721024308148274
Good Times Bad Times,229,2024-07-26,56,8.31140350877193,6.737730870712401,0.681888536466282,4.594381442533767
Steam,65,2024-10-25,34,7.833333333333333,4.340425531914894,0.8429956727934238,3.6589599414863505
Ocelot,101,2025-01-28,27,6.31,4.27892234548336,0.8389392234165635,3.58975578957959
The Horse,172,2024-07-26,56,8.660818713450292,6.465901417960838,0.5439563832408556,3.5171683497058974
Horn,176,2024-07-31,52,9.577142857142857,5.429594272076373,0.6139958851075251,3.333748540858281
The Sloth,176,2023-12-31,73,10.674285714285714,6.838865096359743,0.4861832861835511,3.3249419063141676
Fee,286,2024-08-30,37,6.6573426573426575,5.557773109243698,0.5178273998563939,2.87796719815145
Scent of a Mule,138,2024-08-02,51,8.554794520547945,5.961569255404323,0.4808702737954246,2.8667414400966624
Gotta Jibboo,103,2024-10-27,32,7.766990291262136,4.12,0.5601320302026219,2.3077439644348026
The Oh Kee Pa Ceremony,220,2024-08-02,51,8.114155251141552,6.285312324141812,0.3641203779869816,2.2886102992327504
Wingsuit,42,2024-08-04,49,9.707317073170731,5.047738693467337,0.4533694327586623,2.2884904281712375
Contact,175,2024-07-26,56,10.655172413793103,5.255663430420712,0.38078051442894195,2.0012542247009764
Golgi Apparatus,480,2025-06-22,12,4.054279749478079,2.9598352214212156,0.5845640616638508,1.730213298889709
No Men In No Man's Land,81,2025-06-27,10,4.753086419753086,2.103896103896104,0.7888412154116182,1.659639959697171
What's Going Through Your Mind,10,2025-07-04,7,4.444444444444445,1.575,1.0435779214073,1.6436352262164975
Poor Heart,312,2024-12-28,31,5.955271565495208,5.205472103004292,0.29842002518258126,1.553417116065765
Heavy Things,101,2024-10-27,32,7.99,4.005006257822278,0.38443045751435134,1.5396463880424585
Alaska,43,2024-02-21,71,13.833333333333334,5.132530120481928,0.29146417270259134,1.4959486454373965
Bouncing Around the Room,493,2025-07-03,8,3.6178861788617884,2.2112359550561798,0.6270348093457744,1.386521915497173
The Man Who Stepped Into Yesterday,85,2023-12-31,73,12.72108843537415,5.738502673796791,0.2373891588314692,1.362258322684757
A Song I Heard the Ocean Sing,49,2024-07-28,54,13.0,4.153846153846154,0.3265715010168345,1.3565277734545436
Fly Famous Mockingbird,129,2023-12-31,73,13.242857142857142,5.512405609492989,0.22262209444116723,1.227183282194568
Character Zero,258,2025-07-04,7,4.189922480620155,1.6706753006475483,0.6582162541159962,1.099665638236345
Oblivion,20,2025-07-04,7,5.368421052631579,1.303921568627451,0.8300290624295075,1.0822927970894558
I Never Needed You Like This Before,14,2024-08-11,44,12.307692307692308,3.5749999999999997,0.30153576713506025,1.0779903675078404
Waves,56,2024-08-10,45,12.472727272727273,3.607871720116618,0.28450855802345626,1.0264703806239859
Colonel Forbin's Ascent,128,2023-12-31,73,14.4375,5.0562770562770565,0.19767621817906805,0.9995057265504393
Also Sprach Zarathustra,269,2025-07-03,8,4.900369003690037,1.6325301204819276,0.6025003493192462,0.9835999678645525
Chalk Dust Torture,521,2025-07-11,4,3.144212523719165,1.2721786360893181,0.7633257967620891,0.9710867710165866
Miss You,20,2024-07-31,52,16.263157894736842,3.1974110032362457,0.29109609589138347,0.9307538600022228
My Sweet One,253,2025-01-29,26,7.074803149606299,3.675013912075682,0.2356706568518815,0.8660929425986786
The Squirming Coil,373,2025-06-27,10,4.779569892473118,2.092238470191226,0.4052710318447027,0.8479236436795804
Funky Bitch,234,2025-01-30,25,8.266094420600858,3.0244029075804777,0.2724745348731816,0.8240727755120886
Light,128,2025-07-03,8,5.038759689922481,1.5876923076923077,0.49500592112074443,0.7859170932255511
Sigma Oasis,44,2025-07-05,6,4.7272727272727275,1.2692307692307692,0.5479303457293045,0.6954500541948865
46 Days,153,2025-07-05,6,4.720779220779221,1.2709766162310867,0.532081022116163,0.676262537049979
Brian and Robert,53,2024-07-26,56,16.75,3.343283582089552,0.2018902860062887,0.674976478588189
Esther,135,2024-07-27,55,13.585185185185185,4.048527808069792,0.1634500910759289,0.6617322389524384
Big Black Furry Creature from Mars,134,2024-08-09,46,13.237762237762238,3.474907554146857,0.18775864733551337,0.652443941982571
Back on the Train,168,2025-07-04,7,5.047337278106509,1.3868698710433762,0.4122193152001115,0.5716945485131675
Ruby Waves,37,2025-06-28,9,5.85,1.5384615384615385,0.3670641438388536,0.5647140674443902
Kill Devil Falls,120,2025-07-03,8,5.453781512605042,1.4668721109399074,0.3497617602687988,0.5130557716115507
Fuego,95,2025-07-05,6,4.6421052631578945,1.2925170068027212,0.39240629447015235,0.5071918091791086
McGrupp and the Watchful Hosemasters,120,2024-08-04,49,16.134453781512605,3.036979166666667,0.16623548659181192,0.5048537095400288
Party Time,38,2024-08-18,39,16.027027027027028,2.4333895446880267,0.19881482543699597,0.4837939175473611
Axilla,113,2024-08-18,39,12.491071428571429,3.122230164403145,0.14974136414325726,0.4675270039869533
Wading in the Velvet Sea,110,2025-04-23,18,8.909090909090908,2.0204081632653064,0.22794868239040011,0.46054937870713497
