song,times_played_last_year,last_time_played_date,current_show_gap,average_gap,median_gap
Harry Hood,14,2025-07-12,4,4.308,4.0
Chalk Dust Torture,13,2025-07-11,0,5.083,4.5
Bathtub Gin,12,2025-07-12,4,4.909,4.0
Character Zero,12,2025-07-04,8,4.727,5.0
46 Days,12,2025-07-05,7,4.727,5.0
Free,12,2025-07-11,0,5.455,5.0
Down with Disease,12,2025-07-11,5,4.909,5.0
The Moma Dance,12,2025-07-12,4,5.182,4.0
Fuego,11,2025-07-05,7,5.1,5.5
Kill Devil Falls,11,2025-07-03,9,5.1,6.0
Twist,11,2025-07-11,0,6.0,6.0
Back on the Train,11,2025-07-04,8,5.3,5.0
Also Sprach Zarathustra,11,2025-07-03,9,5.0,4.5
Oblivion,10,2025-07-04,8,5.667,6.0
Light,10,2025-07-03,9,5.778,7.0
No Men In No Man's Land,10,2025-06-27,10,5.556,5.0
Piper,10,2025-07-09,6,5.333,5.0
First Tube,10,2025-07-11,5,6.111,5.0
What's Going Through Your Mind,10,2025-07-04,8,5.889,5.0
Sigma Oasis,10,2025-07-05,7,5.667,5.0
Say It To Me S.A.N.T.O.S.,10,2025-07-12,0,6.222,5.0
Tube,9,2025-07-03,9,6.375,5.0
Reba,9,2025-07-11,0,7.5,7.0
Ruby Waves,9,2025-06-28,0,7.5,6.0
Pillow Jets,9,2025-07-03,9,6.375,5.0
Backwards Down the Number Line,9,2025-07-09,6,6.625,6.0
Monsters,8,2025-07-12,0,8.0,7.0
Bouncing Around the Room,8,2025-07-03,9,7.286,5.0
Crosseyed and Painless,8,2025-07-05,7,7.714,7.0
Hey Stranger,8,2025-07-11,0,8.143,9.0
Mike's Song,8,2025-07-12,4,7.857,7.0
More,8,2025-07-05,7,6.571,6.0
Life Saving Gun,8,2025-07-09,6,7.0,7.0
Weekapaug Groove,8,2025-07-12,4,7.857,7.0
Bug,7,2025-07-09,6,7.333,7.0
Axilla (Part II),7,2025-07-09,6,7.667,7.5
AC/DC Bag,7,2025-07-09,6,8.667,7.5
Taste,7,2025-07-11,5,7.833,7.5
Most Events Aren't Planned,7,2025-07-04,8,7.5,6.5
Rift,7,2025-07-11,5,8.833,9.0
Walls of the Cave,6,2025-07-11,5,9.8,11.0
Llama,6,2025-07-11,5,9.4,8.0
Sample in a Jar,6,2025-07-09,6,9.0,8.0
Plasma,6,2025-07-12,0,10.8,12.0
Lonely Trip,6,2025-07-09,6,11.0,10.0
Cities,6,2025-06-27,10,8.4,11.0
Divided Sky,6,2025-07-12,4,11.2,8.0
What's the Use?,6,2025-07-03,9,7.6,9.0
Martian Monster,5,2025-07-09,6,13.0,13.0
Mercury,5,2025-07-12,4,12.0,9.0
Golgi Apparatus,5,2025-06-22,12,9.75,11.0
Birds of a Feather,5,2025-07-05,7,11.0,7.5
Cavern,5,2025-04-27,16,9.0,9.0
Halley's Comet,5,2025-06-21,13,9.5,8.5
My Soul,5,2025-06-28,0,12.75,11.5
I Am Hydrogen,5,2025-07-12,4,13.75,14.0
Mountains in the Mist,5,2024-12-28,27,8.25,8.5
The Howling,5,2025-06-24,11,10.0,9.5
Steam,5,2024-10-25,30,7.0,7.0
The Wedge,5,2025-06-22,12,9.5,8.0
Timber (Jerry the Mule),5,2025-07-04,8,12.5,9.0
The Squirming Coil,5,2025-06-27,10,11.25,7.0
Waste,5,2025-06-28,0,13.5,13.0
Mull,4,2025-07-09,6,15.667,17.0
NICU,4,2025-07-12,4,19.0,8.0
Gotta Jibboo,4,2024-10-27,28,10.333,10.0
Farmhouse,4,2025-04-19,22,10.333,5.0
Buried Alive,4,2025-07-05,7,16.667,17.0
Beneath a Sea of Stars Part 1,4,2025-04-26,17,13.333,16.0
I Always Wanted It This Way,4,2025-06-24,11,12.0,12.0
Limb By Limb,4,2025-06-28,0,17.333,12.0
Suzy Greenberg,4,2025-07-11,5,17.333,9.0
Scents and Subtle Sounds,4,2025-04-20,21,12.667,8.0
The Well,4,2025-07-11,5,15.667,9.0
Undermind,4,2025-07-09,6,16.0,11.0
Dirt,3,2025-06-27,10,20.0,20.0
Funky Bitch,3,2025-01-30,34,13.5,13.5
Loving Cup,3,2025-07-09,6,18.5,18.5
Ocelot,3,2025-01-28,15,17.0,17.0
Ya Mar,3,2025-06-24,11,23.5,23.5
The Lizards,3,2025-07-05,7,22.0,22.0
Joy,3,2025-07-12,4,25.5,25.5
Halfway to the Moon,3,2025-06-21,13,17.0,17.0
Wading in the Velvet Sea,3,2025-04-23,19,11.0,11.0
Saw It Again,3,2025-01-31,33,14.0,14.0
Rock and Roll,2,2025-06-28,0,46.0,46.0
The Mango Song,2,2025-07-09,6,21.0,21.0
Driver,2,2024-12-28,27,16.0,16.0
Grind,2,2024-12-31,24,24.0,24.0
Axilla,2,2024-08-18,40,18.0,18.0
A Day in the Life,2,2025-07-05,7,40.0,40.0
Bold As Love,2,2025-06-21,13,13.0,13.0
Beauty of My Dreams,2,2025-07-04,8,36.0,36.0
Cars Trucks Buses,2,2025-01-31,33,16.0,16.0
Billy Breathes,2,2025-06-21,13,32.0,32.0
The Old Home Place,2,2025-06-20,14,29.0,29.0
Vultures,2,2025-07-09,6,43.0,43.0
When the Circus Comes,2,2025-07-11,5,51.0,51.0
The Final Hurrah,2,2025-07-11,5,40.0,40.0
Jam,2,2025-01-28,15,16.0,16.0
Izabella,2,2024-08-18,46,12.0,12.0
Heavy Things,2,2024-10-27,28,19.0,19.0
My Sweet One,2,2025-01-29,28,7.0,7.0
Strawberry Letter 23,2,2025-07-09,6,38.0,38.0
Soul Planet,2,2025-07-12,4,41.0,41.0
Sleeping Monkey,2,2025-04-19,22,8.0,8.0
Stealing Time From the Faulty Plan,2,2025-06-24,11,34.0,34.0
Sightless Escape,2,2025-07-11,5,28.0,28.0
Strange Design,2,2025-06-20,14,24.0,24.0
If I Could,2,2025-04-18,23,25.0,25.0
I Never Needed You Like This Before,2,2024-08-11,40,9.0,9.0
Human Nature,2,2024-08-11,40,16.0,16.0
Lifeboy,2,2025-04-27,16,35.0,35.0
Moonage Daydream,2,2025-06-28,0,51.0,51.0
Meat,2,2025-06-21,13,36.0,36.0
Party Time,2,2024-08-18,45,13.0,13.0
Peaches en Regalia,2,2024-08-16,44,16.0,16.0
Guyute,2,2025-07-04,8,46.0,46.0
Destiny Unbound,2,2025-07-12,4,41.0,41.0
Nellie Kane,2,2025-07-03,9,35.0,35.0
Auld Lang Syne,1,2024-12-31,24,,
Brian and Robert,1,2024-07-26,52,,
Box of Rain,1,2024-10-25,30,,
Carolina,1,2025-07-12,4,,
Buffalo Bill,1,2025-07-05,7,,
Guy Forget,1,2024-08-03,46,,
Good Times Bad Times,1,2024-07-26,52,,
Fuck Your Face,1,2024-12-28,27,,
Esther,1,2024-07-27,51,,
