date,year,month,day,weekday,date_ec,venue,city,state,show_index_overall,show_index_withinyear,run_index,venue_full,link
,1985,00,00,,??/??/85,"A-Frame, Weymanda Court",Athens,GA,1,1,1,"A-FRAME, WEYMANDA COURT, ATHENS, GA",http://www.everydaycompanion.com/setlists/19850000a.asp
1985-02-24,1985,02,24,Sunday,02/24/1985,"A-Frame, Weymanda Court",Athens,GA,2,2,1,"A-FRAME, WEYMANDA COURT, ATHENS, GA",http://www.everydaycompanion.com/setlists/19850224a.asp
1985-06-22,1985,06,22,Saturday,06/22/1985,Uptown Lounge,Athens,GA,3,3,2,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19850622a.asp
1985-10-19,1985,10,19,Saturday,10/19/1985,US Aware Festival,Athens,GA,4,4,3,"US AWARE FESTIVAL, ATHENS, GA",http://www.everydaycompanion.com/setlists/19851019a.asp
1985-10-24,1985,10,24,Thursday,10/24/1985,"Phi Delta Theta House, University of Georgia",Athens,GA,5,5,4,"PHI DELTA THETA HOUSE, UNIVERSITY OF GEORGIA, ATHENS, GA",http://www.everydaycompanion.com/setlists/19851024a.asp
,1986,00,00,,??/??/86,** UNKNOWN **,** UNKNOWN **,UU,6,1,5,"** UNKNOWN **, ** UNKNOWN **, UU",http://www.everydaycompanion.com/setlists/19860000a.asp
,1986,00,00,,??/??/86,"Phi Delta Theta House, University of Georgia",Athens,GA,7,2,6,"PHI DELTA THETA HOUSE, UNIVERSITY OF GEORGIA, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860000b.asp
1986-02-06,1986,02,06,Thursday,02/06/1986,The Mad Hatter Ballroom,Athens,GA,8,3,7,"THE MAD HATTER BALLROOM, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860206a.asp
1986-02-13,1986,02,13,Thursday,02/13/1986,Uptown Lounge,Athens,GA,9,4,8,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860213a.asp
1986-02-17,1986,02,17,Monday,02/17/1986,Uptown Lounge,Athens,GA,10,5,8,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860217a.asp
1986-02-27,1986,02,27,Thursday,02/27/1986,Rugby's,Athens,GA,11,6,9,"RUGBY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860227a.asp
,1986,03,00,,03/??/86,Uptown Lounge,Athens,GA,12,7,10,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860300a.asp
1986-03-03,1986,03,03,Monday,03/03/1986,Uptown Lounge,Athens,GA,13,8,10,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860303a.asp
1986-03-17,1986,03,17,Monday,03/17/1986,Uptown Lounge,Athens,GA,14,9,10,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860317a.asp
,1986,04,00,,04/??/86,** UNKNOWN **,Atlanta,GA,15,10,11,"** UNKNOWN **, ATLANTA, GA",http://www.everydaycompanion.com/setlists/19860400a.asp
1986-04-05,1986,04,05,Saturday,04/05/1986,Uptown Lounge,Athens,GA,16,11,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860405a.asp
1986-04-07,1986,04,07,Monday,04/07/1986,Uptown Lounge,Athens,GA,17,12,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860407a.asp
1986-04-14,1986,04,14,Monday,04/14/1986,Uptown Lounge,Athens,GA,18,13,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860414a.asp
1986-04-17,1986,04,17,Thursday,04/17/1986,Uptown Lounge,Athens,GA,19,14,12,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860417a.asp
1986-04-24,1986,04,24,Thursday,04/24/1986,Quarters,Clemson,SC,20,15,13,"QUARTERS, CLEMSON, SC",http://www.everydaycompanion.com/setlists/19860424a.asp
1986-04-25,1986,04,25,Friday,04/25/1986,Quarters,Clemson,SC,21,16,13,"QUARTERS, CLEMSON, SC",http://www.everydaycompanion.com/setlists/19860425a.asp
1986-04-26,1986,04,26,Saturday,04/26/1986,Quarters,Clemson,SC,22,17,13,"QUARTERS, CLEMSON, SC",http://www.everydaycompanion.com/setlists/19860426a.asp
1986-04-28,1986,04,28,Monday,04/28/1986,Uptown Lounge,Athens,GA,23,18,14,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860428a.asp
1986-05-05,1986,05,05,Monday,05/05/1986,Uptown Lounge,Athens,GA,24,19,14,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860505a.asp
1986-05-06,1986,05,06,Tuesday,05/06/1986,South Beach Marina,Hilton Head,SC,25,20,15,"SOUTH BEACH MARINA, HILTON HEAD, SC",http://www.everydaycompanion.com/setlists/19860506a.asp
1986-05-12,1986,05,12,Monday,05/12/1986,Uptown Lounge,Athens,GA,26,21,16,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860512a.asp
1986-05-19,1986,05,19,Monday,05/19/1986,Uptown Lounge,Athens,GA,27,22,16,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860519a.asp
1986-05-20,1986,05,20,Tuesday,05/20/1986,Tate Student Center Plaza,Athens,GA,28,23,17,"TATE STUDENT CENTER PLAZA, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860520a.asp
1986-05-26,1986,05,26,Monday,05/26/1986,Uptown Lounge,Athens,GA,29,24,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860526a.asp
1986-06-03,1986,06,03,Tuesday,06/03/1986,Uptown Lounge,Athens,GA,30,25,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860603a.asp
1986-06-16,1986,06,16,Monday,06/16/1986,Uptown Lounge,Athens,GA,31,26,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860616a.asp
1986-06-23,1986,06,23,Monday,06/23/1986,Uptown Lounge,Athens,GA,32,27,18,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860623a.asp
1986-06-26,1986,06,26,Thursday,06/26/1986,Harry's,Athens,GA,33,28,19,"HARRY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860626a.asp
1986-06-30,1986,06,30,Monday,06/30/1986,Uptown Lounge,Athens,GA,34,29,20,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860630a.asp
,1986,07,00,,07/??/86,Washington Park,Macon,GA,35,30,21,"WASHINGTON PARK, MACON, GA",http://www.everydaycompanion.com/setlists/19860700a.asp
1986-07-08,1986,07,08,Tuesday,07/08/1986,Uptown Lounge,Athens,GA,36,31,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860708a.asp
1986-07-14,1986,07,14,Monday,07/14/1986,Uptown Lounge,Athens,GA,37,32,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860714a.asp
1986-07-18,1986,07,18,Friday,07/18/1986,Uptown Lounge,Athens,GA,38,33,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860718a.asp
1986-07-21,1986,07,21,Monday,07/21/1986,Uptown Lounge,Athens,GA,39,34,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860721a.asp
1986-07-28,1986,07,28,Monday,07/28/1986,Uptown Lounge,Athens,GA,40,35,22,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860728a.asp
1986-07-30,1986,07,30,Wednesday,07/30/1986,Old Post Office,Hilton Head,SC,41,36,23,"OLD POST OFFICE, HILTON HEAD, SC",http://www.everydaycompanion.com/setlists/19860730a.asp
1986-08-04,1986,08,04,Monday,08/04/1986,Uptown Lounge,Athens,GA,42,37,24,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860804a.asp
1986-08-07,1986,08,07,Thursday,08/07/1986,Old Post Office,Hilton Head,SC,43,38,25,"OLD POST OFFICE, HILTON HEAD, SC",http://www.everydaycompanion.com/setlists/19860807a.asp
1986-08-11,1986,08,11,Monday,08/11/1986,Uptown Lounge,Athens,GA,44,39,26,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860811a.asp
1986-08-14,1986,08,14,Thursday,08/14/1986,Harry's,Athens,GA,45,40,27,"HARRY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860814a.asp
1986-08-15,1986,08,15,Friday,08/15/1986,Harry's,Athens,GA,46,41,27,"HARRY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860815a.asp
1986-08-18,1986,08,18,Monday,08/18/1986,Uptown Lounge,Athens,GA,47,42,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860818a.asp
1986-09-08,1986,09,08,Monday,09/08/1986,Uptown Lounge,Athens,GA,48,43,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860908a.asp
1986-09-15,1986,09,15,Monday,09/15/1986,Uptown Lounge,Athens,GA,49,44,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860915a.asp
1986-09-29,1986,09,29,Monday,09/29/1986,Uptown Lounge,Athens,GA,50,45,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19860929a.asp
1986-10-06,1986,10,06,Monday,10/06/1986,Uptown Lounge,Athens,GA,51,46,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861006a.asp
1986-10-08,1986,10,08,Wednesday,10/08/1986,Uptown Lounge,Athens,GA,52,47,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861008a.asp
1986-10-11,1986,10,11,Saturday,10/11/1986,Uptown Lounge,Athens,GA,53,48,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861011a.asp
1986-10-17,1986,10,17,Friday,10/17/1986,Uptown Lounge,Athens,GA,54,49,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861017a.asp
1986-10-20,1986,10,20,Monday,10/20/1986,Uptown Lounge,Athens,GA,55,50,28,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861020a.asp
1986-10-23,1986,10,23,Thursday,10/23/1986,Garrie Vereen's House,Athens,GA,56,51,29,"GARRIE VEREEN'S HOUSE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861023a.asp
1986-10-27,1986,10,27,Monday,10/27/1986,Uptown Lounge,Athens,GA,57,52,30,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861027a.asp
1986-11-03,1986,11,03,Monday,11/03/1986,Uptown Lounge,Athens,GA,58,53,30,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861103a.asp
1986-11-08,1986,11,08,Saturday,11/08/1986,40 Watt Club,Athens,GA,59,54,31,"40 WATT CLUB, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861108a.asp
1986-11-10,1986,11,10,Monday,11/10/1986,Uptown Lounge,Athens,GA,60,55,32,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861110a.asp
1986-11-17,1986,11,17,Monday,11/17/1986,Uptown Lounge,Athens,GA,61,56,32,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861117a.asp
1986-11-24,1986,11,24,Monday,11/24/1986,Uptown Lounge,Athens,GA,62,57,32,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861124a.asp
1986-12-01,1986,12,01,Monday,12/01/1986,Uptown Lounge,Athens,GA,63,58,32,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861201a.asp
1986-12-05,1986,12,05,Friday,12/05/1986,TK Harty's,Athens,GA,64,59,33,"TK HARTY'S, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861205a.asp
1986-12-08,1986,12,08,Monday,12/08/1986,Uptown Lounge,Athens,GA,65,60,34,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861208a.asp
1986-12-12,1986,12,12,Friday,12/12/1986,Uptown Lounge,Athens,GA,66,61,34,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19861212a.asp
,1987,00,00,,??/??/87,** UNKNOWN **,** UNKNOWN **,UU,67,1,35,"** UNKNOWN **, ** UNKNOWN **, UU",http://www.everydaycompanion.com/setlists/19870000a.asp
,1987,00,00,,??/??/87,** UNKNOWN **,** UNKNOWN **,UU,68,2,35,"** UNKNOWN **, ** UNKNOWN **, UU",http://www.everydaycompanion.com/setlists/19870000b.asp
,1987,01,00,,01/??/87,40 Watt Club,Athens,GA,69,3,36,"40 WATT CLUB, ATHENS, GA",http://www.everydaycompanion.com/setlists/19870100a.asp
1987-01-03,1987,01,03,Saturday,01/03/1987,The Rookery,Macon,GA,70,4,37,"THE ROOKERY, MACON, GA",http://www.everydaycompanion.com/setlists/19870103a.asp
1987-01-05,1987,01,05,Monday,01/05/1987,Uptown Lounge,Athens,GA,71,5,38,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19870105a.asp
1987-01-12,1987,01,12,Monday,01/12/1987,Uptown Lounge,Athens,GA,72,6,38,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19870112a.asp
1987-01-19,1987,01,19,Monday,01/19/1987,Uptown Lounge,Athens,GA,73,7,38,"UPTOWN LOUNGE, ATHENS, GA",http://www.everydaycompanion.com/setlists/19870119a.asp
