song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
YOU SHOULD BE GLAD,171,2023-02-09,71,6.2631578947368425,11.336134453781511,1.486612032575993,16.852433881890878
PAPA LEGBA,372,2023-04-18,60,8.11021505376344,7.398077560490554,1.102725326323667,8.158047492059744
SUNDOWN BETTY,24,2023-08-27,44,8.173913043478262,5.382978723404255,1.1581054626883818,6.234057065109799
HEROES,311,2023-04-15,62,7.103225806451613,8.728428701180745,0.47489877790617474,4.145120123231916
STOP-GO,779,2025-03-21,13,4.007509386733417,3.2439100562148657,0.6785133064566499,2.2010361380903256
A OF D,274,2023-03-03,68,10.534798534798535,6.454798331015299,0.3391053069729711,2.1888563694875645
TALL BOY,510,2025-05-16,7,3.84765625,1.8192893401015229,1.1379446874990564,2.070250639592192
STRANGER IN A STRANGE LAND,7,2024-03-22,30,7.230769230769231,4.148936170212766,0.4789960102817713,1.9873238724456468
BLUE CAROUSEL,9,2025-04-26,8,4.25,1.8823529411764706,0.9496940783237893,1.7876594415506621
MAKES SENSE TO ME,672,2025-04-25,9,3.923994038748137,2.2935814660083556,0.7787920541802577,1.786223021342414
GRADLE,161,2023-03-04,67,12.4375,5.386934673366834,0.30063881879496934,1.6195216771266692
PROVING GROUND,662,2025-04-25,9,3.772020725388601,2.385989010989011,0.5912042386128237,1.4106068165803225
TICKLE THE TRUTH,91,2023-12-30,35,10.155555555555555,3.4463894967177247,0.3564102164068907,1.2283284263475993
TIME ZONES,126,2023-12-30,35,8.68,4.032258064516129,0.2909836051810504,1.1733209886332676
IMPOSSIBLE,454,2024-04-15,26,6.57488986784141,3.954438860971524,0.2942148205326443,1.1634545197880513
BLACKOUT BLUES,555,2025-05-17,6,3.963898916967509,1.5136612021857925,0.7312792256711457,1.1069089918628818
1 X 1,147,2023-05-27,54,13.712328767123287,3.938061938061938,0.25948176765381514,1.0218552728185208
VISITING DAY,134,2023-12-30,35,10.789473684210526,3.2439024390243905,0.3135321288388894,1.0170676374529828
TRAVELIN' LIGHT,1041,2025-06-04,5,3.0846153846153848,1.6209476309226931,0.5884210437916922,0.9537996969192019
THIN AIR (SMELLS LIKE MISSISSIPPI),105,2023-05-27,54,11.442307692307692,4.719327731092437,0.1648942897700857,0.7781901944107573
C. BROWN,811,2025-05-16,7,3.9703703703703703,1.7630597014925373,0.42822347071121625,0.7549835444442152
ONE ARM STEVE,310,2025-04-26,8,5.449838187702265,1.4679334916864608,0.4186627622039803,0.6145690903611872
