song,set,in_set_index,in_show_index,footnotes,date,venue,city,state,country,link
JaJunk,1,1,1,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Fenced In,1,2,2,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Similar Skin,1,3,3,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Resolution,1,4,4,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
The Bottom Half,1,5,5,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Dump City,1,6,6,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Mantis,2,1,7,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
2nd Self,2,2,8,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Miami Virtue,2,3,9,with Nothing Too Fancy tease,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Women Wine and Song,2,4,10,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Draconian,2,5,11,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Wife Soup,2,6,12,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Make It Right,E,1,13,,01/11/2024,The Fillmore,Charlotte,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html
Cut the Cable,1,1,1,,01/12/2024,The Ritz,Raleigh,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html
Out Of Order,1,2,2,,01/12/2024,The Ritz,Raleigh,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html
FF-,1,3,3,,01/12/2024,The Ritz,Raleigh,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html
Walletsworth,1,4,4,,01/12/2024,The Ritz,Raleigh,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html
Looks,1,5,5,,01/12/2024,The Ritz,Raleigh,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html
Hurt Bird Bath,1,6,6,,01/12/2024,The Ritz,Raleigh,NC,USA,https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html
