link,date,venue,city,state,country,show_number
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-11-2024-the-fillmore-charlotte-nc-usa.html,01/11/2024,The Fillmore,Charlotte,NC,USA,1
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-12-2024-the-ritz-raleigh-nc-usa.html,01/12/2024,The Ritz,Raleigh,NC,USA,2
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-13-2024-the-norva-norfolk-va-usa.html,01/13/2024,The NorVa,Norfolk,VA,USA,3
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-14-2024-the-national-richmond-va-usa.html,01/14/2024,The National,Richmond,VA,USA,4
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-18-2024-starland-ballroom-sayreville-nj-usa.html,01/18/2024,Starland Ballroom,Sayreville,NJ,USA,5
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-19-2024-brooklyn-steel-brooklyn-ny-usa.html,01/19/2024,Brooklyn Steel,Brooklyn,NY,USA,6
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-20-2024-brooklyn-steel-brooklyn-ny-usa.html,01/20/2024,Brooklyn Steel,Brooklyn,NY,USA,7
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-20-2024-brooklyn-steel-brooklyn-ny-usa-2.html,01/20/2024,Brooklyn Steel,Brooklyn,NY,USA,8
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-21-2024-brooklyn-bowl-brooklyn-ny-usa.html,01/21/2024,Brooklyn Bowl,Brooklyn,NY,USA,9
https://allthings.umphreys.com/setlists/umphreys-mcgee-january-31-2024-house-of-blues-cleveland-oh-usa.html,01/31/2024,House of Blues,Cleveland,OH,USA,10
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-1-2024-stage-ae-pittsburgh-pa-usa.html,02/01/2024,Stage AE,Pittsburgh,PA,USA,11
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-2-2024-kemba-live-columbus-oh-usa.html,02/02/2024,KEMBA Live!,Columbus,OH,USA,12
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-3-2024-the-fillmore-detroit-mi-usa.html,02/03/2024,The Fillmore,Detroit,MI,USA,13
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-7-2024-the-bluebird-nightclub-bloomington-in-usa.html,02/07/2024,The Bluebird Nightclub,Bloomington,IN,USA,14
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-8-2024-the-mill-amp-mine-knoxville-tn-usa.html,02/08/2024,The Mill & Mine,Knoxville,TN,USA,15
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-9-2024-megacorp-pavilion-newport-ky-usa.html,02/09/2024,MegaCorp Pavilion,Newport,KY,USA,16
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-10-2024-the-pageant-st-louis-mo-usa.html,02/10/2024,The Pageant,St. Louis,MO,USA,17
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-14-2024-930-club-washington-dc-usa.html,02/14/2024,9:30 Club,Washington,DC,USA,18
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-15-2024-930-club-washington-dc-usa.html,02/15/2024,9:30 Club,Washington,DC,USA,19
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-16-2024-brooklyn-bowl-philadelphia-philadelphia-pa-usa.html,02/16/2024,Brooklyn Bowl Philadelphia,Philadelphia,PA,USA,20
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-17-2024-brooklyn-bowl-philadelphia-philadelphia-pa-usa.html,02/17/2024,Brooklyn Bowl Philadelphia,Philadelphia,PA,USA,21
https://allthings.umphreys.com/setlists/umphreys-mcgee-february-18-2024-penn039s-peak-jim-thorpe-pa-usa.html,02/18/2024,Penn's Peak,Jim Thorpe,PA,USA,22
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-8-2024-belly-up-aspen-aspen-co-usa.html,03/08/2024,Belly Up Aspen,Aspen,CO,USA,23
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-9-2024-belly-up-aspen-aspen-co-usa.html,03/09/2024,Belly Up Aspen,Aspen,CO,USA,24
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-10-2024-belly-up-aspen-aspen-co-usa.html,03/10/2024,Belly Up Aspen,Aspen,CO,USA,25
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-14-2024-mcdonald-theatre-eugene-or-usa.html,03/14/2024,McDonald Theatre,Eugene,OR,USA,26
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-15-2024-crystal-ballroom-portland-or-usa.html,03/15/2024,Crystal Ballroom,Portland,OR,USA,27
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-16-2024-crystal-ballroom-portland-or-usa.html,03/16/2024,Crystal Ballroom,Portland,OR,USA,28
https://allthings.umphreys.com/setlists/umphreys-mcgee-march-17-2024-showbox-at-the-market-seattle-wa-usa.html,03/17/2024,Showbox at the Market,Seattle,WA,USA,29
