Song Name,Original Artist,Debut Date,Last Played,Times Played Live,Avg Show Gap
"""B"" Movie Box Car Blues",Delbert McClinton,2022-12-31,2022-12-31,1,216.0
"""Brendan & Jake switch rigs""",,2010-04-24,2014-05-03,2,676.0
"""Mrs Robinson's Strut""",,2011-04-02,2011-04-02,1,1244.0
#19,,2011-04-02,2011-04-02,1,1244.0
#5,,2003-05-15,2024-12-12,173,13.13
(Don't Fear) The Reaper,Blue Öyster Cult,2001-10-31,2023-05-27,17,155.69
(I Can't Get No) Satisfaction,The Rolling Stones,2021-09-18,2021-09-18,1,303.0
(Sittin' On) The Dock of the Bay,Otis Redding,2013-04-27,2018-12-14,2,505.0
...And Justice for All,Metallica,2003-10-31,2022-02-25,29,75.31
...And We Became Sunshine,The Uglysuit,2010-09-25,2010-09-25,1,1313.0
1000 Places to See Before You Die,,2007-03-24,2025-05-30,13,132.31
10th Grade,,1998-01-21,2004-09-04,33,101.89
13 Days,,2002-08-29,2025-03-08,163,14.58
1348,,2009-01-23,2025-05-30,425,5.12
1901 Jump,Phoenix/Van Halen/Cee Lo,2010-10-31,2010-11-06,2,646.5
1999,Prince,2017-10-28,2025-01-30,5,114.0
25 or 6 to 4,Chicago,2011-12-31,2011-12-31,1,1171.0
2nd Self,,2000-04-22,2025-04-25,418,6.5
2x2,,1998-08-22,2025-04-20,553,5.35
316,Van Halen,2012-01-10,2015-08-21,4,291.75
40's Theme,Ali Baba's Tahini,2000-10-28,2025-06-13,530,5.11
50 Ways to Leave Your Lover,Paul Simon,2000-09-28,2023-09-14,59,44.9
5:15,The Who,2007-12-31,2007-12-31,1,1625.0
9 to 5,Dolly Parton,2025-04-04,2025-04-04,1,20.0
9:30,,2012-04-27,2012-04-27,1,1122.0
A Fifth of Beethoven,Walter Murphy and the Big Apple Band,2000-11-18,2013-04-27,32,82.13
A Go Go,John Scofield,1999-03-17,2025-05-24,70,40.25
A Half Sleep,Jeff Coffin,2007-12-31,2008-05-01,2,812.5
A Love Supreme,John Coltrane,2009-06-27,2015-05-23,4,364.25
A Mild Sedative,,2014-01-17,2015-02-13,6,158.33
AC/DC Medley,AC/DC,2003-09-24,2003-09-24,1,2202.0
Abacab,Genesis,2006-12-29,2023-12-29,17,102.71
About Damn Time,Lizzo,2023-07-01,2023-07-01,1,161.0
Ace of Long Nights,Motörhead/Ween,2012-10-27,2012-11-10,2,534.5
Addicted to Kiss,Robert Palmer/Prince/Genesis,2011-10-29,2011-10-29,1,1184.0
Africa,Toto,2000-10-12,2025-04-25,73,36.22
Africano,"Earth, Wind & Fire",2022-12-31,2022-12-31,1,216.0
After Midnight,J.J. Cale,2008-10-28,2013-07-03,2,765.0
Against All Odds,Phil Collins,2006-04-29,2006-04-29,1,1832.0
Ahab,,2004-08-07,2006-08-20,15,138.4
Ain't No Fun (If the Homies Can'...,Snoop Dogg,2000-10-31,2018-05-26,31,85.0
Ain't No Sunshine,Bill Withers,2005-09-11,2015-01-10,6,319.83
Ain't Too Proud to Beg,Holland/Whitfield,2003-12-31,2017-02-02,9,240.0
Alex's House,,2007-03-06,2024-12-12,109,15.99
All Blues,Miles Davis,2000-04-14,2001-03-28,3,897.33
All I Need,Radiohead,2011-04-22,2011-04-22,1,1241.0
All In Time,,1998-02-07,2025-05-31,775,4.73
All Night Long,Lionel Richie,1999-08-27,2023-08-27,73,37.33
All Things Ninja,,1999-06-24,2025-01-22,240,11.98
Alright,Jamiroquai,2019-12-31,2019-12-31,1,376.0
Althea,Grateful Dead,2021-10-28,2024-08-30,6,49.83
Always October,,2022-08-21,2025-04-26,18,12.78
Always Up,30db,2006-09-22,2006-09-22,1,1777.0
Amazing Grace,John Newton,2002-11-20,2011-11-26,12,290.88
Amble On,,2013-04-26,2019-09-19,11,91.91
America the Beautiful,Bates/Ward,2000-12-15,2018-03-23,26,100.69
Anarchy in the U.K.,Sex Pistols,2004-10-30,2004-10-30,1,2038.0
Anchor Drops,,2001-02-01,2025-05-22,275,9.5
Andy's Last Beer,,2000-05-26,2025-05-22,373,7.28
Angel from Montgomery,Bonnie Raitt,2025-04-04,2025-04-04,1,20.0
Angular Momentum,,2007-04-07,2010-01-14,5,343.0
Another Brick in the Wall,Pink Floyd,2001-08-24,2025-04-19,55,46.76
Another Brick in the Wall/Thriller,Pink Floyd/Michael Jackson,2008-10-31,2012-10-31,4,382.0
Anthem,Rush,2020-01-17,2020-01-17,1,375.0
Apeman,The Kinks,2001-12-31,2010-12-30,3,825.33
Ask Me No Questions,B.B. King,1999-01-28,2002-06-01,38,75.32
At Last,Etta James,2012-01-21,2012-01-21,1,1165.0
Atmosfarag,,2005-02-18,2025-04-26,111,18.11
Attachments,,2015-12-06,2025-05-29,140,5.42
Auf Wiedersehen,,2012-12-28,2016-04-21,5,211.8
August,,1998-02-11,2025-06-14,446,6.77
Auld Lang Syne,Robert Burns,2000-12-31,2024-12-31,23,113.74
Australian Lullaby,,2018-07-06,2024-08-28,2,255.0
Avenue,Citizen Dick,1998-08-22,2000-03-04,21,134.24
B. Onion,,2001-02-01,2001-02-01,1,2613.0
Baba O'Riley,The Who,2004-08-26,2025-01-16,58,35.71
Baby Bitch,Ween,2015-05-22,2015-05-22,1,798.0
Baby Come Back,Player,2022-12-31,2022-12-31,1,216.0
Baby Honey Sugar Darlin',,1998-08-27,2022-11-11,36,78.28
Baby You're A Rich Man,The Beatles,2000-10-28,2024-02-18,42,62.76
Back In Black,AC/DC,2002-03-23,2003-07-14,3,811.33
Back In Sexual Healing,AC/DC/Marvin Gaye,2015-10-31,2015-10-31,1,757.0
Bad Friday,,2013-12-31,2025-05-29,158,6.03
Bad Poker,,2002-07-10,2025-01-25,75,31.79
Bad is Bad,Huey Lewis and the News,2005-04-26,2006-05-18,3,659.0
Ballad of Jimi Hendrix,Stormtroopers of Death,2003-02-05,2003-12-04,3,769.0
Band on the Run,Wings,2001-10-19,2019-08-24,33,75.7
Barracuda,Heart,2009-11-14,2022-03-27,6,233.83
Bass solo,,2000-09-28,2019-04-27,14,189.21
Bathing Digits,,2014-02-22,2025-03-13,50,18.7
Bathtub Gin,Phish,1998-01-21,1998-05-23,6,475.5
Because,The Beatles,2002-12-31,2002-12-31,1,2316.0
Believe the Lie,,2005-02-16,2025-06-15,187,10.76
Bell Bottom Blues,Derek and the Dominos,2005-02-26,2005-09-30,4,501.0
Bennie and the Jets,Elton John,2012-08-11,2025-06-01,7,156.71
Big Bottom,Spinal Tap,1998-08-29,2023-12-29,39,72.23
