song,times_played,ltp_date,current_gap,avg_gap,gap_ratio,gap_z_score,ck+_score
Nemo,348,2025-02-26,36,6.008645533141211,5.99136690647482,0.8992550018614214,5.387766658634472
Hangover,416,2025-01-25,41,6.566265060240964,6.244036697247706,0.7717587305996365,4.818889835285437
Similar Skin,124,2025-03-05,32,6.845528455284553,4.67458432304038,0.7881153138287128,3.6841114907717496
The Floor,319,2025-04-19,16,5.0062893081761,3.1959798994974875,1.1242041231114284,3.592933780396324
Miami Virtue,140,2025-02-26,36,8.215827338129497,4.381786339754816,0.7133046431935736,3.125548541629284
Padgett's Profile,184,2024-04-13,96,13.360655737704919,7.185276073619631,0.41264792039067494,2.964989229212015
Der Bluten Kat,697,2025-04-25,14,3.9597701149425286,3.5355587808417996,0.7927201184438635,2.8027085755141528
The Triple Wide,503,2025-04-25,14,4.822709163346613,2.9029326724494013,0.951712938866679,2.762758585028922
It Doesn't Matter,68,2025-03-14,25,7.567164179104478,3.303747534516765,0.8273295672704402,2.733288018102539
Blue Echo,268,2024-12-31,49,9.307116104868914,5.264788732394366,0.49453955995210175,2.6036463029590933
The Fussy Dutchman,343,2025-03-06,31,7.7105263157894735,4.020477815699659,0.6291692911244132,2.5295611772851836
2x2,548,2025-04-20,15,5.038391224862888,2.9771407837445576,0.7831624542037051,2.3315848827073298
Tribute to the Spinal Shaft,259,2025-01-23,43,9.736434108527131,4.41640127388535,0.49787715900178253,2.1988253192538916
FF,309,2025-01-23,43,8.967532467532468,4.79507603186097,0.4424639258776717,2.121648165939132
Phil's Farm,519,2025-04-05,18,5.38030888030888,3.3455328310010763,0.6083014675465593,2.03509253082315
Mantis,288,2025-04-18,17,5.090592334494773,3.339493497604381,0.607456478135388,2.0285969588107857
Kimble,288,2025-01-22,44,9.62020905923345,4.573705179282869,0.39285104473051397,1.7967848579706378
I Don't Know What I Want,45,2025-04-20,15,6.0,2.5,0.6878600209713486,1.7196500524283715
#5,168,2024-12-12,53,12.994011976047904,4.078801843317972,0.3847180282712622,1.56918860287048
Thin Air,276,2025-01-30,40,9.989090909090908,4.004368401892974,0.3832733285658576,1.5347676061974642
Example 1,329,2025-03-12,27,8.09451219512195,3.3355932203389833,0.3990977033261972,1.3312275934677222
Hiccup,38,2025-04-27,12,5.54054054054054,2.1658536585365855,0.5793149130454203,1.2547113238642273
Rocker Part 2,171,2025-03-13,26,9.211764705882352,2.822477650063857,0.44024527696113724,1.2425824547689825
Concessions,10,2025-04-19,16,8.0,2.0,0.6172133998483676,1.2344267996967353
Remind Me,121,2025-04-26,13,6.3,2.0634920634920637,0.5726429703991394,1.181644224633145
Speak Up,105,2025-04-19,16,6.769230769230769,2.3636363636363638,0.4716786977628628,1.1148769219849486
Nothing Too Fancy,732,2025-05-25,7,3.538987688098495,1.9779667568612291,0.5540564263738739,1.0959051927928536
Much Obliged,422,2025-03-22,20,6.577197149643705,3.0408089563019143,0.3559419066517058,1.082351337669687
2nd Self,413,2025-04-25,14,6.393203883495145,2.1898253606681854,0.4903672340812585,1.0738186052318524
Seasons,58,2025-03-21,21,8.280701754385966,2.536016949152542,0.4066925423410456,1.0313791804708294
Sociable Jimmy,333,2025-03-20,22,7.993975903614458,2.7520723436322534,0.35218376142941726,0.9692351897062788
White Man's Moccasins,288,2025-03-14,25,8.742160278745645,2.8597050617776003,0.33738898297675285,0.9648329824066167
Syncopated Strangers,438,2025-04-25,14,5.807780320366133,2.4105594956658787,0.3943929759742811,0.950707733258728
Conduit,228,2025-04-29,11,5.863436123348017,1.8760330578512399,0.499440027318899,0.9369660016643809
Great American,177,2025-01-19,45,11.159090909090908,4.032586558044807,0.22394660785256662,0.9030840805459918
All Things Ninja,239,2025-01-22,44,11.159663865546218,3.9427710843373496,0.19602314191292997,0.7728743757952571
Out Of Order,271,2025-03-13,26,9.614814814814816,2.7041602465331276,0.2787588630009634,0.7538086356959796
Preamble,171,2025-04-04,19,8.58235294117647,2.213845099383139,0.30470204249570193,0.6745631235511427
Looks,59,2025-03-22,20,8.793103448275861,2.274509803921569,0.2934013866806658,0.6673443304893576
Maybe Someday,60,2025-04-04,19,8.64406779661017,2.1980392156862747,0.28394825128925577,0.624129391559325
1348,415,2025-05-30,5,3.5555555555555554,1.40625,0.4293631867901092,0.603791981423591
So Much,7,2024-04-12,97,23.833333333333332,4.06993006993007,0.14232206784309415,0.5792408635292363
Smell the Mitten,163,2025-01-24,42,14.067901234567902,2.9855199648968846,0.18947099634862044,0.5656694423677111
Roctopus,56,2025-03-05,32,11.690909090909091,2.7371695178849142,0.20647681533333856,0.5651620450803668
Alex's House,105,2024-12-12,53,15.778846153846153,3.3589274832419256,0.16660535430326834,0.5596153034245064
Out of Focus,20,2025-03-21,21,10.210526315789474,2.056701030927835,0.2576296355599123,0.529867137053634
Red Tape,121,2025-03-13,26,12.083333333333334,2.1517241379310343,0.216254882981277,0.46532085165626497
Make It Right,70,2025-03-21,21,10.840579710144928,1.9371657754010694,0.2312141017462426,0.4479000446929218
Kabump,227,2025-03-06,31,12.119469026548673,2.5578678349762685,0.17441129722983348,0.4461210472406766
Attachments,136,2025-05-29,6,5.311111111111111,1.1297071129707112,0.3805446071413955,0.4299039494902794
