song,times_played_last_year,last_time_played,average_gap_days,median_gap_days
All In Time,19,2025-05-31,15.611,3.5
Nothing Too Fancy,17,2025-05-25,20.25,7.0
1348,14,2025-05-30,25.385,21.0
The Floor,13,2025-04-19,24.0,16.5
Pure Saturation,12,2025-05-31,30.091,33.0
Slacker,12,2025-05-25,28.091,23.0
Staircase,11,2025-05-30,33.0,34.0
Attachments,11,2025-05-29,31.3,29.5
Mantis,11,2025-04-18,27.3,18.5
The Triple Wide,11,2025-04-25,28.0,18.5
Booth Love,11,2025-06-01,33.0,22.5
Fenced In,9,2025-04-27,37.0,26.0
Night Nurse,9,2025-05-29,39.5,37.5
Divisions,9,2025-05-24,40.25,34.5
Escape Goat,9,2025-06-01,41.25,33.5
Wizard Burial Ground,8,2025-05-29,46.857,31.0
Phil's Farm,8,2025-04-05,39.0,26.0
Andy's Last Beer,8,2025-05-22,46.0,30.0
Day Nurse,8,2025-05-31,46.857,41.0
Cut the Cable,8,2025-05-30,45.286,27.0
Wife Soup,8,2025-06-01,40.286,24.0
Bad Friday,8,2025-05-29,45.0,38.0
Der Bluten Kat,8,2025-04-25,40.286,41.0
Pay the Snucka,7,2025-06-01,46.0,38.5
New Wings,7,2025-04-27,47.0,40.5
Concessions,7,2025-04-19,39.667,29.0
Resolution,7,2025-05-29,54.667,42.0
Remind Me,7,2025-04-26,49.167,38.5
2nd Self,7,2025-04-25,47.0,31.0
Out of Focus,7,2025-03-21,33.833,25.0
Hiccup,7,2025-04-27,40.167,30.5
I Don't Know What I Want,7,2025-04-20,46.167,38.0
Got Your Milk (Right Here),7,2025-06-01,55.0,47.5
Intentions Clear,6,2025-05-24,53.6,37.0
Wide Open,6,2025-04-25,27.2,32.0
It Doesn't Matter,6,2025-03-14,50.4,36.0
Women Wine and Song,6,2025-05-23,61.6,47.0
Preamble,6,2025-04-04,51.8,36.0
Partyin' Peeps,6,2025-05-31,63.6,38.0
The Crooked One,6,2025-05-25,65.0,55.0
Maybe Someday,6,2025-04-04,54.4,54.0
2x2,6,2025-04-20,58.0,50.0
Hajimemashite,6,2025-05-22,61.2,35.0
Conduit,6,2025-04-29,48.4,35.0
Domino Theory,6,2025-05-29,29.8,34.0
Looks,5,2025-03-22,62.0,53.0
Piranhas,5,2025-05-29,69.25,49.0
Push the Pig,5,2025-05-30,68.5,60.5
Half Delayed,5,2025-05-29,64.5,63.5
Always October,5,2025-04-26,61.75,49.5
Much Obliged,5,2025-03-22,62.0,45.5
Hourglass,5,2025-04-05,68.25,31.0
Draconian,5,2025-05-29,42.0,42.0
Make It Right,5,2025-03-21,64.25,30.0
Out Of Order,5,2025-03-13,59.75,44.0
Speak Up,5,2025-04-19,68.25,54.5
The Bottom Half,5,2025-05-25,81.0,67.5
The Fussy Dutchman,5,2025-03-06,60.75,51.0
Seasons,5,2025-03-21,65.0,54.0
Syncopated Strangers,5,2025-04-25,73.75,46.5
You Got the Wrong Guy,5,2025-06-01,70.0,63.5
Uncle Wally,5,2025-03-12,62.0,48.0
Crucial Taunt,5,2025-04-19,57.5,40.5
White Man's Moccasins,4,2025-03-14,84.0,56.0
Kashmir,4,2025-04-29,81.0,27.0
Mad Love,4,2025-05-30,91.333,77.0
Suxity,4,2025-04-25,98.0,65.0
Red,4,2025-03-09,44.667,66.0
Prowler,4,2025-05-24,26.0,31.0
Similar Skin,4,2025-03-05,80.333,66.0
Kabump,4,2025-03-06,80.667,49.0
Turn & Run,3,2025-03-21,104.0,104.0
Passing,3,2025-05-29,158.0,158.0
Roulette,3,2025-04-19,116.0,116.0
Roctopus,3,2025-03-05,114.0,114.0
Red Tape,3,2025-03-13,125.5,125.5
The Haunt,3,2025-04-26,146.5,146.5
The Pequod,3,2025-03-12,46.0,46.0
Soul Food II,3,2025-04-05,112.5,112.5
Sociable Jimmy,3,2025-03-20,100.0,100.0
The Fuzz,3,2025-05-29,62.5,62.5
Triangle Tear,3,2025-03-15,21.5,21.5
Comma Later,3,2025-04-19,45.5,45.5
No Diablo,3,2025-05-24,57.0,57.0
Dance Hall Days,3,2025-05-23,160.0,160.0
Nemo,3,2025-02-26,19.0,19.0
Miami Virtue,3,2025-02-26,117.0,117.0
Message in a Bottle,3,2025-04-25,122.5,122.5
Life During Exodus,3,2025-03-21,94.5,94.5
Little Gift,3,2025-04-26,49.0,49.0
Live and Let Die,3,2025-04-20,143.5,143.5
Loose Ends,3,2025-04-18,144.0,144.0
Made to Measure,3,2025-03-21,102.5,102.5
Educated Guess,3,2025-05-23,56.5,56.5
Kula,3,2025-03-06,121.5,121.5
It's Not Your Fault,3,2025-03-15,99.5,99.5
Hangover,3,2025-01-25,73.0,73.0
In The Black,3,2025-03-19,26.5,26.5
End of the Road,3,2025-03-20,103.5,103.5
Get In The Van,3,2025-05-24,137.5,137.5
Wellwishers,3,2025-04-25,27.5,27.5
Front Porch,3,2025-04-19,115.0,115.0
Water,3,2025-04-18,114.5,114.5
13 Days,3,2025-03-08,95.5,95.5
Africa,2,2025-04-25,224.0,224.0
Alex's House,2,2024-12-12,161.0,161.0
Whiskey River,2,2025-04-27,23.0,23.0
Weird Fishes/Arpeggi,2,2025-04-20,78.0,78.0
Where Is My Mind?,2,2025-04-20,91.0,91.0
Great American,2,2025-01-19,199.0,199.0
Go to Hell,2,2025-03-15,44.0,44.0
Whitehouse Road,2,2025-03-12,192.0,192.0
Hiccup-,2,2025-01-16,194.0,194.0
Hindsight,2,2025-03-15,51.0,51.0
Hey Nineteen,2,2025-03-05,171.0,171.0
Exit Signs,2,2025-01-24,43.0,43.0
Fame,2,2025-01-22,200.0,200.0
Jessica,2,2025-05-25,114.0,114.0
I Know a Little,2,2025-04-26,22.0,22.0
In Bloom,2,2025-05-29,84.0,84.0
Leave Me Las Vegas,2,2025-04-26,182.0,182.0
Example 1,2,2025-03-12,90.0,90.0
Escape Goat-,2,2025-04-20,87.0,87.0
Forks,2,2025-03-05,32.0,32.0
Catshot,2,2025-02-27,187.0,187.0
Come Closer,2,2025-03-22,247.0,247.0
Eat,2,2025-03-14,55.0,55.0
Drums,2,2025-04-19,91.0,91.0
Corduroy,2,2025-02-27,187.0,187.0
Cult of Personality,2,2025-04-26,238.0,238.0
